IP,Port,Type
188.212.102.252,5836,proxy
195.178.102.138,5836,proxy
5.15.31.29,8080,proxy
188.212.102.227,5836,proxy
188.212.102.222,5836,proxy
188.212.102.223,5836,proxy
188.27.137.163,30987,proxy
195.225.142.205,38494,proxy
188.212.102.253,5836,proxy
5.15.17.119,8080,proxy
195.178.102.106,5836,proxy
195.178.102.141,5836,proxy
93.114.116.202,8080,proxy
5.15.30.126,8080,proxy
188.212.102.251,5836,proxy
93.114.119.217,8080,proxy
79.119.217.123,8080,proxy
89.34.208.223,50478,proxy
5.2.164.205,48959,proxy
31.14.40.123,5836,proxy
185.124.34.179,8080,proxy
92.84.56.10,49556,proxy
5.15.5.191,8080,proxy
89.43.176.45,8080,proxy
5.15.47.123,8080,proxy
185.158.248.106,5836,proxy
145.82.206.237,8080,proxy
93.112.203.154,8080,proxy
51.223.247.70,8080,proxy
88.84.105.68,1080,proxy
175.110.204.167,8080,proxy
51.223.254.208,8080,proxy
188.50.166.251,1981,proxy
93.112.168.84,8080,proxy
142.154.124.228,8080,proxy
37.106.76.27,8080,proxy
51.223.246.99,8080,proxy
86.60.62.29,8080,proxy
93.112.210.235,8080,proxy
175.110.197.49,8080,proxy
51.223.90.95,8080,proxy
51.223.247.165,8080,proxy
51.223.248.121,8080,proxy
51.223.245.26,8080,proxy
86.60.62.40,8080,proxy
51.223.244.181,8080,proxy
51.223.251.74,8080,proxy
51.223.250.58,8080,proxy
95.177.160.166,1080,proxy
51.211.2.157,8080,proxy
51.223.248.225,8080,proxy
86.60.62.32,8080,proxy
141.164.215.44,8080,proxy
31.166.33.7,9090,proxy
31.166.194.120,9090,proxy
188.48.122.98,8080,proxy
93.189.98.58,8080,proxy
86.60.62.46,8080,proxy
5.42.224.18,8080,proxy
51.223.245.70,8080,proxy
51.211.55.86,8080,proxy
51.223.248.189,8080,proxy
149.109.110.23,8080,proxy
51.223.255.1,8080,proxy
141.164.252.137,8080,proxy
144.86.43.222,5678,proxy
130.164.174.40,8080,proxy
188.49.91.233,8080,proxy
51.211.83.39,8080,proxy
51.223.76.78,8080,proxy
178.86.114.195,8080,proxy
51.223.246.36,8080,proxy
95.219.216.203,8080,proxy
178.86.67.251,8080,proxy
178.86.69.73,8080,proxy
175.110.211.166,8080,proxy
51.223.249.221,8080,proxy
175.110.204.95,8080,proxy
78.110.7.192,3128,proxy
51.223.248.115,8080,proxy
51.223.250.239,8080,proxy
175.110.211.172,8080,proxy
51.223.39.0,8080,proxy
51.223.254.87,8080,proxy
51.223.255.51,8080,proxy
88.213.81.129,8080,proxy
51.223.251.5,8080,proxy
175.110.155.15,8080,proxy
51.211.216.170,8080,proxy
178.80.156.227,8080,proxy
141.164.179.145,8080,proxy
78.110.2.90,8080,proxy
2.88.95.67,8080,proxy
2.88.125.238,8080,proxy
37.107.99.172,8080,proxy
2.88.5.196,8080,proxy
37.104.112.25,8080,proxy
51.223.196.109,8080,proxy
37.104.112.202,8080,proxy
176.44.62.73,8080,proxy
37.56.37.130,8080,proxy
51.223.203.74,8080,proxy
51.223.59.164,8080,proxy
188.51.35.175,8080,proxy
2.89.15.253,8080,proxy
37.106.35.210,8080,proxy
94.49.89.69,8080,proxy
51.223.203.111,8080,proxy
2.89.113.56,8080,proxy
77.30.56.225,8080,proxy
2.88.32.255,8080,proxy
2.89.20.121,8080,proxy
2.88.127.56,8080,proxy
37.107.107.161,8080,proxy
51.223.201.255,8080,proxy
2.88.5.13,8080,proxy
77.30.179.64,8080,proxy
2.89.17.68,8080,proxy
2.88.116.74,8080,proxy
51.223.200.177,8080,proxy
37.107.88.180,8080,proxy
2.88.30.92,8080,proxy
2.88.9.254,8080,proxy
37.106.12.87,8080,proxy
