code,companyName,countryCode
1CE85D,"Cisco Systems, Inc",US
7011AE,"Music Life Ltd",HK
120311,"Micro Tech Co, Ltd",JP
00500D,"Satori Electoric Co, Ltd",JP
0050C2,"Hyperchip Inc",CA
000D90,"Factum Electronics AB",SE
70B3D5,"ConectaIP Tecnologia S.L.",ES
70B3D5,"Has Co, Ltd",JP
D452EE,"BSkyB Ltd",GB
0050C2,"Smartmedia Llc",US
F8E903,"D-Link International",SG
6C5D3A,"Microsoft Corp",US
00104D,"Surtec Industries, Inc",TW
70B3D5,"Guan Show Technologe Co, Ltd",TW
0050C2,"Kimmon Manufacturing Co, Ltd",JP
81735,"Cisco Systems, Inc",US
001BC5,"Certis Tech International Pte Ltd",SG
08CA45,"Toyou Feiji Electronics Co, Ltd",CN
0C1539,"Apple, Inc",US
78B84B,"Sichuan Tianyi Comheart Telecomco.,Ltd",CN
283F69,"Sony Mobile Communications Inc",JP
0050C2,"Interisa Electronica, S.A.",ES
000DFC,"Itfor Inc",JP
0013BD,"Hymatom SA",FR
0022BF,"SieAmp Group of Companies",US
0050C2,"Saia Burgess Controls AG",CH
00302A,"Southern Information",TW
000A05,"Widax Corp",US
0050C2,"Bender GmbH & Co KG",DE
001DED,"Grid Net, Inc",US
D07650,PelKorea,KR
E8D0FC,"Liteon Tech Corp",TW
0050C2,"Grupo Epelsa S.L.",ES
0026AC,"Shanghai Luster Teraband photonic Co, Ltd",CN
F40E11,"Kodpro Ltd",HK
184C08,"Rockwell Automation",US
70B3D5,"TinTec Co, Ltd",KR
44A54E,"Qorvo International Pte. Ltd",SG
000CBF,"Holy Stone Ent. Co, Ltd",US
001AF6,"Woven Systems, Inc",US
000A15,"Silicon Data, Inc",US
001BEC,"Netio Tech Co, Ltd",TW
40D855,"Nkt Photonics A/S",DK
38FDFE,"Management Service Corp",JP
84E0F4,"Asl Intercom B.V.",NL
64DDE9,"Xiaomi Communications Co Ltd",CN
0050C2,"Residential Control Systems",US
0050C2,"Computerwise, Inc",US
0024D9,"Bicom, Inc",US
EC172F,"TP-Link Tech Co, Ltd",CN
70B3D5,"Survalent Tech Corp",CA
8891DD,Racktivity,BE
B8921D,"BG T&A",KR
0050C2,"Vaisala Oyj",FI
70B3D5,"T+A elektroakustik GmbH & CoKG",DE
0,"Brocade Communications Systems Llc",US
121305,"Epicom, Inc",US
70B3D5,"Reinhardt System- und Messelectronic GmbH",DE
E05163,"Arcadyan Corp",TW
B44BD6,"ShenZhen Comstar Tech Co",CN
001C67,"Pumpkin Networks, Inc",KR
122542,Pittasoft,KR
0050C2,"Realtime Systems Ltd",IN
40D855,Delopt,IN
F41E5E,"RtBrick Inc",US
0002B3,"Intel Corp",US
0050C2,"Fail Safe Solutions Llc",US
D8D1CB,"Apple, Inc",US
70B3D5,"Motec Pty Ltd",AU
308454,"Guangdong Oppo Mobile Telecommunications Corp, Ltd",CN
0050C2,"Varec Inc",US
006967,aversix,TW
70B3D5,Hrt,IT
00A083,"Asimmphony Turkey",CA
0004BB,"Bardac Corp",US
0009B1,"Kanematsu Electronics, Ltd",JP
000B28,"Quatech Inc",US
0050C2,"Hauch & Bach ApS",DK
CC43E3,"Trump s.a.",BE
0CA138,"Blinq Wireless Inc",CA
94CC04,"Sam Nazarko Trading Ltd",GB
121047,"Echo Eletric Co Ltd",JP
80015,"Stc Business Systems",GB
0050C2,"Acd Elektronik GmbH",DE
80505,"Radmax Communication Private Ltd",IN
40D855,"BrightLeaf Power",US
54EE75,"Wistron InfoComm(Kunshan)Co, Ltd",CN
A45046,"Xiaomi Communications Co Ltd",CN
"0.0422","Internix Inc",JP
0050C2,"TC Communications",US
D03742,"Yulong Computer Telecommunication Scientific (Shenzhen) Co, Ltd",CN
001A0E,"Cheng Uei Precision Industry Co, Ltd",CN
E828D5,"Cots Tech",KR
5050CE,"Hangzhou Dianyixia Communication Tech Co Ltd",CN
AC1ED0,"Temic Automotive Philippines Inc",PH
000F45,"Stretch, Inc",US
0016B2,"DriveCam Inc",US
144C1A,"Max Communication GmbH",DE
0050C2,"Creacon Tech B.V.",NL
64FB81,"Kay Schulze & Karsten Pohle GbR",DE
B0702D,"Apple, Inc",US
AC3A67,"Cisco Systems, Inc",US
CCC261,"Ability enterprise Co, Ltd",TW
0001AC,"Sitara Networks, Inc",US
0004A2,"L.S.I. Japan Co, Ltd",JP
0008B5,"Tai Guen Enterprise Co, Ltd",TW
